Model,Epoch,train_loss,epoch_time_s,valid_score,recall@10,recall@20,ndcg@10,ndcg@20,mrr@10,mrr@20,precision@10,precision@20,hit@10,hit@20
HAGNGlobal,1,15.939984023571014,0.48674941062927246,0.01,0.0128,0.0212,0.01,0.0132,0.0185,0.0209,0.0051,0.0043,0.05,0.085
HAGNGlobal,2,15.93607085943222,0.290372371673584,0.0109,0.0144,0.0285,0.0109,0.0159,0.0192,0.0224,0.0057,0.0055,0.0555,0.104
HAGNGlobal,3,15.930589020252228,0.2872340679168701,0.0136,0.0199,0.0317,0.0136,0.0181,0.0231,0.0261,0.0074,0.0063,0.073,0.117
HAGNGlobal,4,15.921990752220154,0.2890052795410156,0.0135,0.0191,0.0326,0.0135,0.0186,0.0233,0.0267,0.0072,0.0064,0.0705,0.122
HAGNGlobal,5,15.908716142177582,0.28981733322143555,0.0125,0.0182,0.0308,0.0125,0.0172,0.0207,0.024,0.0068,0.006,0.067,0.1155
HAGNGlobal,6,15.88912546634674,0.29090118408203125,0.0106,0.0154,0.028,0.0106,0.0153,0.0178,0.0209,0.0056,0.0054,0.0545,0.102
HAGNGlobal,7,15.86113554239273,0.2903869152069092,0.0089,0.0129,0.0246,0.0089,0.0131,0.0151,0.0179,0.0048,0.0046,0.0475,0.0895
HAGNGlobal,8,15.823545515537262,0.287367582321167,0.0068,0.0089,0.0181,0.0068,0.0102,0.0125,0.0149,0.0035,0.0036,0.0345,0.069
HAGNGlobal,9,15.774391829967499,0.28954601287841797,0.0061,0.0081,0.015,0.0061,0.0088,0.0114,0.0132,0.0031,0.0031,0.0315,0.0585
HAGNGlobal,10,15.713890969753265,0.2897791862487793,0.005,0.0061,0.0124,0.005,0.0075,0.01,0.0119,0.0024,0.0026,0.0245,0.0525
HAGNGlobal,11,15.64088499546051,0.2898528575897217,0.0048,0.0066,0.0119,0.0048,0.0069,0.0088,0.0104,0.0025,0.0024,0.025,0.048
HAGNGlobal,12,15.558707356452942,0.28928709030151367,0.0044,0.0066,0.0103,0.0044,0.0059,0.0079,0.009,0.0024,0.0021,0.0245,0.0415
HAGNGlobal,13,15.46834123134613,0.2886385917663574,0.0042,0.0065,0.0106,0.0042,0.0058,0.0074,0.0087,0.0023,0.0022,0.0235,0.043
HAGNGlobal,14,15.367779433727264,0.2935459613800049,0.0039,0.0062,0.0098,0.0039,0.0054,0.0068,0.008,0.0022,0.0021,0.022,0.0415
